dataset	sample	kind	scope	category	slope	p	trend
Adipose (pre-treatment)	adipose_1	genes	in at least one	0<=TPM<0.1	165.33333333333334	0.024170547174545254	increasing
Adipose (pre-treatment)	adipose_1	genes	in 100	0<=TPM<0.1	294.3333333333333	0.008534920414227098	increasing
Adipose (pre-treatment)	adipose_1	junctions	in at least one	0<=TPM<0.1	979.0	0.024170547174545254	increasing
Adipose (pre-treatment)	adipose_1	junctions	in 100	0<=TPM<0.1	1384.3333333333333	0.008534920414227098	increasing
Adipose (pre-treatment)	adipose_1	genes	in at least one	0.1<=TPM<0.5	78.0	0.13285495573105388	no trend
Adipose (pre-treatment)	adipose_1	genes	in 100	0.1<=TPM<0.5	294.6666666666667	0.008534920414227098	increasing
Adipose (pre-treatment)	adipose_1	junctions	in at least one	0.1<=TPM<0.5	917.3333333333334	0.060289173990602185	no trend
Adipose (pre-treatment)	adipose_1	junctions	in 100	0.1<=TPM<0.5	1851.3333333333333	0.008534920414227098	increasing
Adipose (pre-treatment)	adipose_1	genes	in at least one	0.5<=TPM<1	28.333333333333332	0.024170547174545254	increasing
Adipose (pre-treatment)	adipose_1	genes	in 100	0.5<=TPM<1	122.66666666666667	0.008534920414227098	increasing
Adipose (pre-treatment)	adipose_1	junctions	in at least one	0.5<=TPM<1	340.6666666666667	0.13285495573105388	no trend
Adipose (pre-treatment)	adipose_1	junctions	in 100	0.5<=TPM<1	1026.0	0.008534920414227098	increasing
Adipose (pre-treatment)	adipose_1	genes	in at least one	1<=TPM<10	49.0	0.008534920414227098	increasing
Adipose (pre-treatment)	adipose_1	genes	in 100	1<=TPM<10	195.33333333333334	0.008534920414227098	increasing
Adipose (pre-treatment)	adipose_1	junctions	in at least one	1<=TPM<10	300.3333333333333	0.4523703606773608	no trend
Adipose (pre-treatment)	adipose_1	junctions	in 100	1<=TPM<10	1989.6666666666667	0.008534920414227098	increasing
Adipose (pre-treatment)	adipose_1	genes	in at least one	10<=TPM<inf	22.0	0.008534920414227098	increasing
Adipose (pre-treatment)	adipose_1	genes	in 100	10<=TPM<inf	47.333333333333336	0.008534920414227098	increasing
Adipose (pre-treatment)	adipose_1	junctions	in at least one	10<=TPM<inf	251.0	0.008534920414227098	increasing
Adipose (pre-treatment)	adipose_1	junctions	in 100	10<=TPM<inf	470.6666666666667	0.008534920414227098	increasing
Adipose (post-treatment)	adipose_2	genes	in at least one	0<=TPM<0.1	83.33333333333333	0.13285495573105388	no trend
Adipose (post-treatment)	adipose_2	genes	in 100	0<=TPM<0.1	240.33333333333334	0.008534920414227098	increasing
Adipose (post-treatment)	adipose_2	junctions	in at least one	0<=TPM<0.1	396.0	0.13285495573105388	no trend
Adipose (post-treatment)	adipose_2	junctions	in 100	0<=TPM<0.1	937.0	0.008534920414227098	increasing
Adipose (post-treatment)	adipose_2	genes	in at least one	0.1<=TPM<0.5	24.0	0.2596563563704499	no trend
Adipose (post-treatment)	adipose_2	genes	in 100	0.1<=TPM<0.5	224.66666666666666	0.008534920414227098	increasing
Adipose (post-treatment)	adipose_2	junctions	in at least one	0.1<=TPM<0.5	311.3333333333333	0.2596563563704499	no trend
Adipose (post-treatment)	adipose_2	junctions	in 100	0.1<=TPM<0.5	1238.0	0.008534920414227098	increasing
Adipose (post-treatment)	adipose_2	genes	in at least one	0.5<=TPM<1	-5.0	0.7071142312899612	no trend
Adipose (post-treatment)	adipose_2	genes	in 100	0.5<=TPM<1	91.33333333333333	0.008534920414227098	increasing
Adipose (post-treatment)	adipose_2	junctions	in at least one	0.5<=TPM<1	-14.666666666666666	1.0	no trend
Adipose (post-treatment)	adipose_2	junctions	in 100	0.5<=TPM<1	568.3333333333334	0.008534920414227098	increasing
Adipose (post-treatment)	adipose_2	genes	in at least one	1<=TPM<10	-8.0	0.7071142312899612	no trend
Adipose (post-treatment)	adipose_2	genes	in 100	1<=TPM<10	123.66666666666667	0.008534920414227098	increasing
Adipose (post-treatment)	adipose_2	junctions	in at least one	1<=TPM<10	-173.33333333333334	0.4523703606773608	no trend
Adipose (post-treatment)	adipose_2	junctions	in 100	1<=TPM<10	902.6666666666666	0.008534920414227098	increasing
Adipose (post-treatment)	adipose_2	genes	in at least one	10<=TPM<inf	4.333333333333333	0.035378171962853644	increasing
Adipose (post-treatment)	adipose_2	genes	in 100	10<=TPM<inf	39.0	0.008534920414227098	increasing
Adipose (post-treatment)	adipose_2	junctions	in at least one	10<=TPM<inf	67.66666666666667	0.13285495573105388	no trend
Adipose (post-treatment)	adipose_2	junctions	in 100	10<=TPM<inf	263.0	0.008534920414227098	increasing
