depth	term	coef	std_err	z	p_value	ci_low	ci_high	OR	OR_low	OR_high	p_adj	sig
100	Is_fast_evolving[T.True]	-0.11777318322202236	0.04021900302735043	-2.9282969332166733	0.0034082438340107355	-0.1966009806497366	-0.03894538579430812	0.8888976466514635	0.8215183696478261	0.9618032358317589	0.005112365751016103	**
100	Is_heart_specific[T.True]	-0.23167862530336486	0.13573845376493746	-1.7068017122441221	0.08785891408081017	-0.4977211059997976	0.034363855393067855	0.7932009970793064	0.6079144549564521	1.0349611144098823	0.09584608808815655	
100	z_Compactness	-0.007843286012143142	0.018345899734270515	-0.42752255957726204	0.6689987571572745	-0.0438005887552963	0.02811401673101001	0.9921873922969442	0.9571448038806579	1.0285129454202784	0.6689987571572745	
100	z_GC_content	-0.21198329715937017	0.013567258289580763	-15.624623091473598	4.948389842350425e-55	-0.23857463477590096	-0.18539195954283938	0.8089782096877636	0.7877498925263706	0.8307785884308592	1.97935593694017e-54	***
100	z_PSI_fixed	0.10080331516559	0.011023420036907015	9.144468307303448	5.992390659621334e-20	0.07919780890679506	0.12240882142438494	1.1060590753220378	1.0824184128980305	1.1302160638849819	1.1984781319242667e-19	***
100	z_log_TPM	1.5274181632482644	0.053464104909897225	28.569040215344746	1.6296508415977127e-179	1.4226304431591947	1.632205883337334	4.606268822524458	4.148017225816626	5.11514569739611	1.955581009917255e-178	***
100	z_log_gene_length	0.05713552649948489	0.019179928089786264	2.9789228735383437	0.0028926357855617243	0.019543558217435697	0.09472749478153408	1.0587992960344759	1.019735783766287	1.0993592331756754	0.004958804203820099	**
150	C(Gene_type)[T.Other]	-0.4066108792716902	0.4081927744596795	-0.9961246369681991	0.3191895906774459	-1.2066540159621433	0.3934322574187628	0.6659032566544216	0.29919671388041164	1.4820588818371898	0.38302750881293507	
150	C(Gene_type)[T.Pseudogene]	-0.391496427833775	0.06089686504041739	-6.428843710984759	1.285782412390732e-10	-0.5108520900843894	-0.2721407655831606	0.6760444654335923	0.5999841204190988	0.7617470257781895	3.085877789737757e-10	***
150	C(Gene_type)[T.lncRNA]	-0.2791937191601604	0.03639591407014973	-7.671018197868051	1.7063633348110286e-14	-0.35052839992206847	-0.20785903839825232	0.7563933611348314	0.704315830946438	0.812321534786511	5.119090004433086e-14	***
